lambda,avg_waiting_time,avg_response_time,utilization
0.1,0.11060950287929414,1.1084371513748634,0.1
0.2,0.2480654705587448,1.2469098414129232,0.2
0.3,0.42734176066490903,1.4267453573785467,0.3
0.4,0.6720168965999903,1.6726289383686472,0.4
0.5,0.9919490632327971,1.9915061953129842,0.5
0.6,1.4912690012142857,2.4901053093731877,0.6
0.7,2.3613672961340466,3.363163260123711,0.7
0.8,3.9415649401579844,4.939169772083219,0.8
0.9,8.781449533451436,9.779888376497498,0.9
